// ./ai-backend/documents/data.txt
Scrip	Buy Date	Buy Price	Sell Date	Sell Price	Quantity	Profit/Loss	% PnL							
GULPOLY	23-Sep-24	245	28-Oct-24	202	41	-1763	-17.6%							
RELINFRA	23-Sep-24	319	3-Feb-25	239	31	-2480	-24.8%							
VIDHIING	30-Sep-24	504	17-Feb-25	450	20	-1080	-10.8%							
BFUTILITIE	7-Oct-24	1036	27-Jan-25	820	10	-2160	-20.8%							
KITEX	7-Oct-24	172	3-Feb-25	181.1	58	527.8	5.3%							
AGI	14-Oct-24	1038	3-Feb-25	794	10	-2440	-23.5%							
CARERATING	14-Oct-24	1230	17-Feb-25	1150	8	-640	-6.5%							
SBCL	14-Oct-24	701	25-Nov-24	578	14	-1722	-17.2%							
SUDARCOLOR	14-Oct-24	626	9-Jun-25	589	16	-592	-5.9%							
ZEEMEDIA	14-Oct-24	20.81	10-Feb-25	16.68	481	-1986.53	-19.9%							
63MOONS	4-Nov-24	595	27-Jan-25	751	17	2652	26.2%							
AJMERA	4-Nov-24	184	27-Jan-25	178	54	-324	-3.3%							
SIYSIL	4-Nov-24	570	30-Dec-24	874	18	5472	54.7%							
STYLAMIND	4-Nov-24	2340	27-Jan-25	1917	4	-1692	-16.9%							
JYOTISTRUC	11-Nov-24	31.08	6-Jan-25	24.76	322	-2035.04	-20.4%							
KIRIINDUS	11-Nov-24	428	14-Jul-25	544	23	2668	26.7%							
RAMCOIND	11-Nov-24	280	3-Feb-25	248	36	-1152	-11.5%							
VHL	11-Nov-24	4980	13-Jan-25	4005	2	-1950	-19.5%							
SASKEN	18-Nov-24	2015	24-Feb-25	1700	5	-1575	-15.8%							
GANESHHOU	25-Nov-24	1207	17-Mar-25	995	8	-1696	-17.0%							
CIGNITITEC	2-Dec-24	1698	13-Jan-25	1651	6	-282	-2.8%							
HBLENGINE	2-Dec-24	674	13-Jan-25	557	15	-1755	-17.5%							
HIMATSEIDE	2-Dec-24	182	27-Jan-25	163	55	-1045	-10.5%							
IMFA	2-Dec-24	842	3-Feb-25	693	12	-1788	-17.9%							
KABRAEXTRU	2-Dec-24	516	17-Feb-25	381	19	-2565	-25.7%							
XPROINDIA	2-Dec-24	1452	3-Feb-25	1202	7	-1750	-17.5%							
GOKEX	16-Dec-24	1204	3-Feb-25	890	8	-2512	-25.1%							
NELCO	16-Dec-24	1445	20-Jan-25	1138	7	-2149	-21.5%							
SUNFLAG	16-Dec-24	276	17-Feb-25	226	36	-1800	-18.0%							
EXPLEOSOL	23-Dec-24	1466	13-Jan-25	1291	7	-1225	-12.3%							
KSL	23-Dec-24	1192	27-Jan-25	921	8	-2168	-21.7%							
CAMLINFINE	30-Dec-24	130	11-Aug-25	226	77	7392	73.8%							
CANTABIL	6-Jan-25	298	3-Mar-25	246	34	-1768	-17.4%							
SIYSIL	6-Jan-25	953	10-Feb-25	700	10	-2530	-25.3%							
ASHAPURMIN	27-Jan-25	519	17-Feb-25	434	19	-1615	-16.4%							
MPSLTD	3-Feb-25	2729	4-Aug-25	2319	4	-1640	-16.4%							
RELINFRA	16-Feb-25	384	11-Aug-25	276	26	-2808	-28.1%							
NACLIND	17-Mar-25	82.95	22-Sep-25	218	121	16341.05	163.4%							
VADILALIND	24-Mar-25	5229	7-Jul-25	5321	2	184	1.8%							
SWARAJENG	1-Apr-25	3889	10-Nov-25	3976	3	261	2.6%							
CHOICEIN	21-Apr-25	624	2-Mar-26	702	16	1248	12.5%							
ASTRAMICRO	19-May-25	1099	4-Aug-25	945	9	-1386	-14.0%							
CARERATING	19-May-25	1527	1-Sep-25	1556	7	203	1.9%							
CEMPRO	19-May-25	659	11-Aug-25	730	15	1065	10.8%							
DCBBANK	19-May-25	142	11-Aug-25	127	70	-1050	-10.5%							
LUMAXTECH	19-May-25	663	22-Apr-26	1810	15	17205	172.0%							
TDPOWERSYS	19-May-25	493	19-Jan-26	664	20	3420	34.2%							
LTFOODS	2-Jun-25	477	29-Sep-25	403	21	-1554	-15.5%							
SUVEN	2-Jun-25	244	1-Sep-25	209	41	-1435	-14.4%							
VISHNU	2-Jun-25	544	20-Oct-25	470	18	-1332	-13.3%							
FIEMIND	9-Jun-25	1899	16-Mar-26	1997	5	490	4.9%							
